"REF_DATE","VALUE","IR_lag1","IR_lag2"
"2008-10-01",89,3.25,3.25
"2008-11-01",89.2,2.5,3.25
"2008-12-01",89.2,2.5,2.5
"2009-01-01",89.3,1.75,2.5
"2009-02-01",89.6,1.25,1.75
"2009-03-01",89.9,1.25,1.25
"2009-04-01",89.9,0.75,1.25
"2009-05-01",90,0.5,0.75
"2009-06-01",90.1,0.5,0.5
"2009-07-01",90.1,0.5,0.5
"2009-08-01",90.1,0.5,0.5
"2009-09-01",90.3,0.5,0.5
"2009-10-01",90.6,0.5,0.5
"2009-11-01",90.9,0.5,0.5
"2009-12-01",91.1,0.5,0.5
"2010-01-01",91.1,0.5,0.5
"2010-02-01",91.4,0.5,0.5
"2010-03-01",92.3,0.5,0.5
"2010-04-01",92.3,0.5,0.5
"2010-05-01",92.5,0.5,0.5
"2010-06-01",92.7,0.5,0.5
"2010-07-01",92.7,0.75,0.5
"2010-08-01",92.8,1,0.75
"2010-09-01",94.3,1,1
"2010-10-01",94.5,1.25,1
"2010-11-01",94.6,1.25,1.25
"2010-12-01",94.3,1.25,1.25
"2011-01-01",94.7,1.25,1.25
"2011-02-01",95,1.25,1.25
"2011-03-01",95.1,1.25,1.25
"2011-04-01",95.4,1.25,1.25
"2011-05-01",95.9,1.25,1.25
"2011-06-01",95.8,1.25,1.25
"2011-07-01",95.7,1.25,1.25
"2011-08-01",95.9,1.25,1.25
"2011-09-01",95.9,1.25,1.25
"2011-10-01",95.9,1.25,1.25
"2011-11-01",96.3,1.25,1.25
"2011-12-01",96.5,1.25,1.25
"2012-01-01",96.5,1.25,1.25
"2012-02-01",96.6,1.25,1.25
"2012-03-01",96.7,1.25,1.25
"2012-04-01",96.7,1.25,1.25
"2012-05-01",96.8,1.25,1.25
"2012-06-01",96.9,1.25,1.25
"2012-07-01",97,1.25,1.25
"2012-08-01",97,1.25,1.25
"2012-09-01",97,1.25,1.25
"2012-10-01",97.4,1.25,1.25
"2012-11-01",97.6,1.25,1.25
"2012-12-01",97.6,1.25,1.25
"2013-01-01",97.6,1.25,1.25
"2013-02-01",97.7,1.25,1.25
"2013-03-01",97.7,1.25,1.25
"2013-04-01",97.6,1.25,1.25
"2013-05-01",97.9,1.25,1.25
"2013-06-01",98,1.25,1.25
"2013-07-01",97.9,1.25,1.25
"2013-08-01",98.1,1.25,1.25
"2013-09-01",98.1,1.25,1.25
"2013-10-01",98.1,1.25,1.25
"2013-11-01",98.2,1.25,1.25
"2013-12-01",98.2,1.25,1.25
"2014-01-01",98.3,1.25,1.25
"2014-02-01",98.3,1.25,1.25
"2014-03-01",98.3,1.25,1.25
"2014-04-01",98.4,1.25,1.25
"2014-05-01",98.5,1.25,1.25
"2014-06-01",98.3,1.25,1.25
"2014-07-01",98.4,1.25,1.25
"2014-08-01",98.4,1.25,1.25
"2014-09-01",98.2,1.25,1.25
"2014-10-01",98.2,1.25,1.25
"2014-11-01",98.2,1.25,1.25
"2014-12-01",98.1,1.25,1.25
"2015-01-01",98.2,1.25,1.25
"2015-02-01",98.5,1,1.25
"2015-03-01",98.5,1,1
"2015-04-01",98.4,1,1
"2015-05-01",98.3,1,1
"2015-06-01",98.3,1,1
"2015-07-01",98.5,1,1
"2015-08-01",98.6,0.75,1
"2015-09-01",98.8,0.75,0.75
"2015-10-01",98.8,0.75,0.75
"2015-11-01",99.3,0.75,0.75
"2015-12-01",99.2,0.75,0.75
"2016-01-01",99.2,0.75,0.75
"2016-02-01",99.4,0.75,0.75
"2016-03-01",99.4,0.75,0.75
"2016-04-01",99.5,0.75,0.75
"2016-05-01",99.5,0.75,0.75
"2016-06-01",99.5,0.75,0.75
"2016-07-01",99.5,0.75,0.75
"2016-08-01",99.5,0.75,0.75
"2016-09-01",100,0.75,0.75
"2016-10-01",100,0.75,0.75
"2016-11-01",99.9,0.75,0.75
"2016-12-01",100,0.75,0.75
"2017-01-01",100.2,0.75,0.75
"2017-02-01",100.4,0.75,0.75
"2017-03-01",100.4,0.75,0.75
"2017-04-01",100.5,0.75,0.75
"2017-05-01",100.6,0.75,0.75
"2017-06-01",100.6,0.75,0.75
"2017-07-01",100.9,0.75,0.75
"2017-08-01",100.9,1,0.75
"2017-09-01",101.1,1,1
"2017-10-01",101.3,1.25,1
"2017-11-01",101.3,1.25,1.25
"2017-12-01",101.3,1.25,1.25
"2018-01-01",101.8,1.25,1.25
"2018-02-01",102.4,1.5,1.25
"2018-03-01",102.4,1.5,1.5
"2018-04-01",102.4,1.5,1.5
"2018-05-01",102.5,1.5,1.5
"2018-06-01",103.5,1.5,1.5
"2018-07-01",103.6,1.5,1.5
"2018-08-01",104,1.75,1.5
"2018-09-01",104.1,1.75,1.75
"2018-10-01",104.3,1.75,1.75
"2018-11-01",104.7,2,1.75
"2018-12-01",104.7,2,2
"2019-01-01",104.8,2,2
"2019-02-01",104.9,2,2
"2019-03-01",104.9,2,2
"2019-04-01",105,2,2
"2019-05-01",105.3,2,2
"2019-06-01",105.6,2,2
"2019-07-01",107.3,2,2
"2019-08-01",108.5,2,2
"2019-09-01",109.2,2,2
"2019-10-01",110.1,2,2
"2019-11-01",111.3,2,2
"2019-12-01",111.6,2,2
"2020-01-01",111.9,2,2
"2020-02-01",112.8,2,2
"2020-03-01",113.6,2,2
"2020-04-01",113.8,1,2
"2020-05-01",113.8,0.5,1
"2020-06-01",114.2,0.5,0.5
"2020-07-01",114.8,0.5,0.5
"2020-08-01",115.5,0.5,0.5
"2020-09-01",116.5,0.5,0.5
"2020-10-01",119.7,0.5,0.5
"2020-11-01",121.3,0.5,0.5
"2020-12-01",122,0.5,0.5
"2021-01-01",122.1,0.5,0.5
"2021-02-01",123,0.5,0.5
"2021-03-01",124.7,0.5,0.5
"2021-04-01",133.9,0.5,0.5
"2021-05-01",135.8,0.5,0.5
"2021-06-01",136.9,0.5,0.5
"2021-07-01",137.8,0.5,0.5
"2021-08-01",139.6,0.5,0.5
"2021-09-01",142,0.5,0.5
"2021-10-01",142.3,0.5,0.5
"2021-11-01",143.8,0.5,0.5
"2021-12-01",144.4,0.5,0.5
"2022-01-01",144.4,0.5,0.5
"2022-02-01",146.3,0.5,0.5
"2022-03-01",151,0.5,0.5
"2022-04-01",150.4,0.75,0.5
"2022-05-01",151.9,1.25,0.75
"2022-06-01",151.7,1.25,1.25
"2022-07-01",151.5,1.75,1.25
"2022-08-01",151.5,2.75,1.75
"2022-09-01",151.4,2.75,2.75
"2022-10-01",152,3.5,2.75
"2022-11-01",151.3,3.5,3.5
"2022-12-01",151.7,4,3.5
"2023-01-01",151.7,4.5,4
"2023-02-01",151.7,4.5,4.5
"2023-03-01",151.7,4.75,4.5
"2023-04-01",152.5,4.75,4.75
"2023-05-01",152.5,4.75,4.75
"2023-06-01",151.9,4.75,4.75
"2023-07-01",151.9,5,4.75
"2023-08-01",151.9,5.25,5
"2023-09-01",150.9,5.25,5.25
"2023-10-01",151,5.25,5.25
"2023-11-01",151,5.25,5.25
"2023-12-01",151,5.25,5.25
