"REF_DATE","VALUE","IR_lag1","IR_lag2"
"2011-08-01",80.7,1.25,1.25
"2011-09-01",80.9,1.25,1.25
"2011-10-01",81.3,1.25,1.25
"2011-11-01",82.1,1.25,1.25
"2011-12-01",82.3,1.25,1.25
"2012-01-01",82.4,1.25,1.25
"2012-02-01",82.7,1.25,1.25
"2012-03-01",83.2,1.25,1.25
"2012-04-01",83.5,1.25,1.25
"2012-05-01",84,1.25,1.25
"2012-06-01",84.2,1.25,1.25
"2012-07-01",84.2,1.25,1.25
"2012-08-01",84.5,1.25,1.25
"2012-09-01",85,1.25,1.25
"2012-10-01",85.2,1.25,1.25
"2012-11-01",85.4,1.25,1.25
"2012-12-01",85.6,1.25,1.25
"2013-01-01",85.8,1.25,1.25
"2013-02-01",85.8,1.25,1.25
"2013-03-01",85.8,1.25,1.25
"2013-04-01",85.9,1.25,1.25
"2013-05-01",86.1,1.25,1.25
"2013-06-01",86.1,1.25,1.25
"2013-07-01",86.4,1.25,1.25
"2013-08-01",86.4,1.25,1.25
"2013-09-01",86.5,1.25,1.25
"2013-10-01",86.5,1.25,1.25
"2013-11-01",86.6,1.25,1.25
"2013-12-01",86.8,1.25,1.25
"2014-01-01",87,1.25,1.25
"2014-02-01",87.2,1.25,1.25
"2014-03-01",87.2,1.25,1.25
"2014-04-01",87.8,1.25,1.25
"2014-05-01",87.8,1.25,1.25
"2014-06-01",88.1,1.25,1.25
"2014-07-01",88,1.25,1.25
"2014-08-01",88.4,1.25,1.25
"2014-09-01",88.6,1.25,1.25
"2014-10-01",88.7,1.25,1.25
"2014-11-01",88.8,1.25,1.25
"2014-12-01",88.9,1.25,1.25
"2015-01-01",88.9,1.25,1.25
"2015-02-01",89.2,1,1.25
"2015-03-01",89.5,1,1
"2015-04-01",89.8,1,1
"2015-05-01",90.2,1,1
"2015-06-01",90.8,1,1
"2015-07-01",91.1,1,1
"2015-08-01",91.6,0.75,1
"2015-09-01",91.8,0.75,0.75
"2015-10-01",92.2,0.75,0.75
"2015-11-01",92.5,0.75,0.75
"2015-12-01",92.6,0.75,0.75
"2016-01-01",92.8,0.75,0.75
"2016-02-01",93.2,0.75,0.75
"2016-03-01",93.5,0.75,0.75
"2016-04-01",94.2,0.75,0.75
"2016-05-01",96,0.75,0.75
"2016-06-01",96.4,0.75,0.75
"2016-07-01",97.4,0.75,0.75
"2016-08-01",98,0.75,0.75
"2016-09-01",98.3,0.75,0.75
"2016-10-01",99.6,0.75,0.75
"2016-11-01",100,0.75,0.75
"2016-12-01",100,0.75,0.75
"2017-01-01",100.2,0.75,0.75
"2017-02-01",101.2,0.75,0.75
"2017-03-01",101.4,0.75,0.75
"2017-04-01",103.5,0.75,0.75
"2017-05-01",104.6,0.75,0.75
"2017-06-01",104.6,0.75,0.75
"2017-07-01",104.6,0.75,0.75
"2017-08-01",104.6,1,0.75
"2017-09-01",104.6,1,1
"2017-10-01",104.7,1.25,1
"2017-11-01",104.7,1.25,1.25
"2017-12-01",104.7,1.25,1.25
"2018-01-01",104.6,1.25,1.25
"2018-02-01",104,1.5,1.25
"2018-03-01",103.7,1.5,1.5
"2018-04-01",103.2,1.5,1.5
"2018-05-01",103.2,1.5,1.5
"2018-06-01",103.2,1.5,1.5
"2018-07-01",103.3,1.5,1.5
"2018-08-01",103.3,1.75,1.5
"2018-09-01",103.3,1.75,1.75
"2018-10-01",103.2,1.75,1.75
"2018-11-01",103.3,2,1.75
"2018-12-01",103.2,2,2
"2019-01-01",103,2,2
"2019-02-01",103,2,2
"2019-03-01",103,2,2
"2019-04-01",102.9,2,2
"2019-05-01",102.6,2,2
"2019-06-01",102.6,2,2
"2019-07-01",102,2,2
"2019-08-01",102,2,2
"2019-09-01",102.3,2,2
"2019-10-01",102.4,2,2
"2019-11-01",102.3,2,2
"2019-12-01",102.5,2,2
"2020-01-01",102.1,2,2
"2020-02-01",102.5,2,2
"2020-03-01",102.8,2,2
"2020-04-01",102.8,1,2
"2020-05-01",102.8,0.5,1
"2020-06-01",102.8,0.5,0.5
"2020-07-01",103.1,0.5,0.5
"2020-08-01",103.4,0.5,0.5
"2020-09-01",104.2,0.5,0.5
"2020-10-01",104.8,0.5,0.5
"2020-11-01",105.1,0.5,0.5
"2020-12-01",105.5,0.5,0.5
"2021-01-01",106.2,0.5,0.5
"2021-02-01",107.7,0.5,0.5
"2021-03-01",108.6,0.5,0.5
"2021-04-01",109.5,0.5,0.5
"2021-05-01",109.9,0.5,0.5
"2021-06-01",110,0.5,0.5
"2021-07-01",110.2,0.5,0.5
"2021-08-01",111.1,0.5,0.5
"2021-09-01",111.1,0.5,0.5
"2021-10-01",112.5,0.5,0.5
"2021-11-01",114.1,0.5,0.5
"2021-12-01",114.1,0.5,0.5
"2022-01-01",114.1,0.5,0.5
"2022-02-01",114.8,0.5,0.5
"2022-03-01",115.6,0.5,0.5
"2022-04-01",115.6,0.75,0.5
"2022-05-01",115.6,1.25,0.75
"2022-06-01",115.6,1.25,1.25
"2022-07-01",115.6,1.75,1.25
"2022-08-01",115.6,2.75,1.75
"2022-09-01",115.6,2.75,2.75
"2022-10-01",115.6,3.5,2.75
"2022-11-01",115.6,3.5,3.5
"2022-12-01",115.6,4,3.5
"2023-01-01",115.6,4.5,4
"2023-02-01",115.2,4.5,4.5
"2023-03-01",115.2,4.75,4.5
"2023-04-01",115.2,4.75,4.75
"2023-05-01",115.1,4.75,4.75
"2023-06-01",115.1,4.75,4.75
"2023-07-01",115.1,5,4.75
"2023-08-01",115,5.25,5
"2023-09-01",115,5.25,5.25
"2023-10-01",114.9,5.25,5.25
"2023-11-01",114.7,5.25,5.25
"2023-12-01",114.6,5.25,5.25
